,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
god's,1,0.255102041,wrought,2,0.503778338,applaud,2,0.4784689,contend,2,0.383877159,who's,1,0.23255814,lived,1,0.238095238,alone,1,0.236966825,ye,1,0.243902439,pronounce,2,0.495049505,began,1,0.214132762
courage,1,0.255102041,bear,2,0.503778338,last,2,0.4784689,home,2,0.383877159,dies,1,0.23255814,sleeping,1,0.238095238,wicked,1,0.236966825,valour,1,0.243902439,wicked,1,0.247524752,back,1,0.214132762
wither'd,1,0.255102041,re-enter,2,0.503778338,feel,2,0.4784689,another,2,0.383877159,comfort,1,0.23255814,knell,1,0.238095238,untimely,1,0.236966825,rather,1,0.243902439,blade,1,0.247524752,course,1,0.214132762
purpose,1,0.255102041,seize,1,0.251889169,doctor,2,0.4784689,become,2,0.383877159,saw,1,0.23255814,fare,1,0.238095238,end,1,0.236966825,mock,1,0.243902439,v,1,0.247524752,feet,1,0.214132762
hope,1,0.255102041,end,1,0.251889169,end,1,0.23923445,break,2,0.383877159,bloody,1,0.23255814,gentle,1,0.238095238,times,1,0.236966825,defence,1,0.243902439,destroy,1,0.247524752,days,1,0.214132762
shut,1,0.255102041,cut,1,0.251889169,times,1,0.23923445,kings,2,0.383877159,same,1,0.23255814,cure,1,0.238095238,'thus,1,0.236966825,full,1,0.243902439,murderer,1,0.247524752,fools,1,0.214132762
offices,1,0.255102041,v,1,0.251889169,succeeding,1,0.23923445,play,2,0.383877159,royalty,1,0.23255814,saw,1,0.238095238,defence,1,0.236966825,gentle,1,0.243902439,manly,1,0.247524752,read,1,0.214132762
alas,1,0.255102041,valour,1,0.251889169,some,1,0.23923445,double,2,0.383877159,brains,1,0.23255814,feet,1,0.238095238,who's,1,0.236966825,borne,1,0.243902439,rather,1,0.247524752,cheeks,1,0.214132762
water,1,0.255102041,rather,1,0.251889169,ten,1,0.23923445,gentlemen,2,0.383877159,made,1,0.23255814,gin,1,0.238095238,dies,1,0.236966825,traitor,1,0.243902439,mock,1,0.247524752,seems,1,0.214132762
ambition,1,0.255102041,blame,1,0.251889169,cries,1,0.23923445,FALSE,2,0.383877159,offices,1,0.23255814,edge,1,0.238095238,fare,1,0.236966825,wither'd,1,0.243902439,naked,1,0.247524752,towards,1,0.214132762
