,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,,,,,,,,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,,,,,,,
though,2,0.399201597,writ,2,0.331125828,pray,2,0.358422939,beauty,2,0.321027287,dreams,2,0.344234079,hope,2,0.321027287,pray,2,0.337837838,me',2,0.336134454,wish,2,0.347222222,scape,2,0.327332242,,,,,,,
lost,2,0.399201597,content,2,0.331125828,beshrew,2,0.358422939,pursued,2,0.321027287,herself,2,0.344234079,keeps,2,0.321027287,wild,2,0.337837838,care,2,0.336134454,many,2,0.347222222,ye,2,0.327332242,,,,,,,
dew,2,0.399201597,mean,2,0.331125828,confession,2,0.358422939,hire,2,0.321027287,last,2,0.344234079,leave,2,0.321027287,saint,2,0.337837838,each,2,0.336134454,cords,2,0.347222222,put,2,0.327332242,,,,,,,
warrant,2,0.399201597,once,2,0.331125828,wherefore,2,0.358422939,help,2,0.321027287,quoth,2,0.344234079,mantua,2,0.321027287,chide,2,0.337837838,grace,2,0.336134454,boy,2,0.347222222,prepare,2,0.327332242,,,,,,,
is't,2,0.399201597,hers,2,0.331125828,form,2,0.358422939,letters,2,0.321027287,brows,2,0.344234079,kill'd,2,0.321027287,last,2,0.337837838,eyes,2,0.336134454,says,2,0.347222222,mean,2,0.327332242,,,,,,,
breath,2,0.399201597,tears,2,0.331125828,letters,2,0.358422939,instruments,2,0.321027287,delight,2,0.344234079,veins,2,0.321027287,bosom,2,0.337837838,burden,2,0.336134454,enough,2,0.347222222,arm,2,0.327332242,,,,,,,
night's,2,0.399201597,stir,2,0.331125828,else,2,0.358422939,re-enter,2,0.321027287,hard,2,0.344234079,sure,2,0.321027287,shrift,2,0.337837838,under,2,0.336134454,fetch,2,0.347222222,kinsman,2,0.327332242,,,,,,,
use,2,0.399201597,hadst,2,0.331125828,body,2,0.358422939,slain,2,0.321027287,very,2,0.344234079,confess,2,0.321027287,sworn,2,0.337837838,tender,2,0.336134454,spoke,2,0.347222222,were,2,0.327332242,,,,,,,
known,2,0.399201597,word,2,0.331125828,girl,2,0.358422939,cheeks,2,0.321027287,mayst,2,0.344234079,chamber,2,0.321027287,foot,2,0.337837838,trust,2,0.336134454,gaze,2,0.347222222,close,2,0.327332242,,,,,,,
even,2,0.399201597,consent,2,0.331125828,lain,2,0.358422939,gold,2,0.321027287,foot,2,0.344234079,juliet's,2,0.321027287,grace,2,0.337837838,morn,2,0.336134454,raise,2,0.347222222,say'st,2,0.327332242,,,,,,,
enemy,1,0.199600798,quiet,2,0.331125828,simple,2,0.358422939,bloody,2,0.321027287,remove,2,0.344234079,comfort,2,0.321027287,sick,2,0.337837838,warrant,2,0.336134454,hope,2,0.347222222,makes,2,0.327332242,,,,,,,
change,1,0.199600798,merry,2,0.331125828,tybalt's,2,0.358422939,friend,2,0.321027287,ne'er,2,0.344234079,point,2,0.321027287,re-enter,2,0.337837838,adieu,2,0.336134454,reason,2,0.347222222,conduct,2,0.327332242,,,,,,,
dare,1,0.199600798,nay,2,0.331125828,jealous,2,0.358422939,charge,2,0.321027287,five,2,0.344234079,flower,2,0.321027287,vile,2,0.337837838,pale,2,0.336134454,kinsman,2,0.347222222,cell,2,0.327332242,,,,,,,
neither,1,0.199600798,hands,2,0.331125828,moved,2,0.358422939,rich,2,0.321027287,gold,2,0.344234079,need,2,0.321027287,arise,2,0.337837838,young,2,0.336134454,slaughter'd,2,0.347222222,kill'd,2,0.327332242,,,,,,,
mind,1,0.199600798,quoth,2,0.331125828,nature,2,0.358422939,itself,2,0.321027287,took,2,0.344234079,curtains,2,0.321027287,flesh,2,0.337837838,blind,2,0.336134454,kill'd,2,0.347222222,he's,2,0.327332242,,,,,,,
wedding,1,0.199600798,sea,2,0.331125828,hollow,2,0.358422939,ring,2,0.321027287,hit,2,0.344234079,ha,2,0.321027287,cave,2,0.337837838,whole,2,0.336134454,nay,2,0.347222222,deep,2,0.327332242,,,,,,,
choose,1,0.199600798,starts,2,0.331125828,sick,2,0.358422939,iron,2,0.321027287,new,2,0.344234079,ready,2,0.321027287,noise,2,0.337837838,knew,2,0.336134454,match,2,0.347222222,woes,2,0.327332242,,,,,,,
yourself,1,0.199600798,own,2,0.331125828,slain,2,0.358422939,gives,2,0.321027287,follow,2,0.344234079,joints,2,0.321027287,full,2,0.337837838,bade,2,0.336134454,sour,2,0.347222222,ears,2,0.327332242,,,,,,,
best,1,0.199600798,fray,2,0.331125828,having,2,0.358422939,use,2,0.321027287,young,2,0.344234079,bride,2,0.321027287,knife,2,0.337837838,vow,2,0.336134454,juliet's,2,0.347222222,else,2,0.327332242,,,,,,,
play,1,0.199600798,book,2,0.331125828,high,2,0.358422939,known,2,0.321027287,blind,2,0.344234079,bloody,2,0.321027287,times,2,0.337837838,cupid,2,0.336134454,own,2,0.347222222,laurence',2,0.327332242,,,,,,,
mouse,1,0.199600798,learn,2,0.331125828,note,2,0.358422939,even,2,0.321027287,bright,2,0.344234079,knife,2,0.321027287,green,2,0.337837838,deny,2,0.336134454,fray,2,0.347222222,fault,2,0.327332242,,,,,,,
welcome,1,0.199600798,along,2,0.331125828,itself,2,0.358422939,anon,1,0.160513644,guests,2,0.344234079,hateful,2,0.321027287,mother,2,0.337837838,livery,1,0.168067227,ask,2,0.347222222,stands,2,0.327332242,,,,,,,
thank,1,0.199600798,flower,2,0.331125828,gentleman,2,0.358422939,vengeance,1,0.160513644,going,2,0.344234079,lips,2,0.321027287,gentleman,2,0.337837838,withdraw,1,0.168067227,care,2,0.347222222,born,2,0.327332242,,,,,,,
shut,1,0.199600798,years,2,0.331125828,sirrah,2,0.358422939,throne,1,0.160513644,counsel,1,0.17211704,iv,2,0.321027287,fie,2,0.337837838,enemy,1,0.168067227,god's,2,0.347222222,doubt,2,0.327332242,,,,,,,
shoes,1,0.199600798,child,2,0.331125828,apace,2,0.358422939,forgive,1,0.160513644,stays,1,0.17211704,wisdom,2,0.321027287,breast,2,0.337837838,ay,1,0.168067227,under,2,0.347222222,trust,2,0.327332242,,,,,,,
mark,1,0.199600798,need,2,0.331125828,hall,2,0.358422939,dare,1,0.160513644,cast,1,0.17211704,drink,2,0.321027287,fortune,2,0.337837838,judgment,1,0.168067227,hurt,2,0.347222222,piteous,2,0.327332242,,,,,,,
wings,1,0.199600798,vile,2,0.331125828,young,2,0.358422939,palace,1,0.160513644,term,1,0.17211704,short,2,0.321027287,straight,2,0.337837838,grandsire,1,0.168067227,sit,2,0.347222222,discords,2,0.327332242,,,,,,,
